CCc1ccccc1N2C(=O)c3cc4cccc(c4cc3C2=O)OC,3,P10000002
c1ccc(cc1)/C=C/C=c\2/c(=O)n3c(s2)nc(n3)c4ccc(cc4)F,C13511561,P20805033
c1ccc(cc1)Cc2nn3c(nnc3s2)c4ccc(cc4)Cl,C13726979,P21128853
Cc1ccc(cc1Br)/C=C(/C#N)\c2ccc(cc2)[N+](=O)[O-],C16346835,P24729004
C[C@@]1([C@@H]2CC[C@H]3CCCC[C@@H]3[C@H]2CC[C@@H]1C(=O)OC)C(=O)OC,C16951505,P25522365
C[C@H]1CC(=C[C@@H]([C@@H]1[C@H]2N(CCO2)C[C@@H]3COC4(O3)CCCCC4)C)C,C22017997,P32759618
Cc1ccc(cc1)c2c(nn3c2nc(cc3N4C[C@@H](C[C@@H](C4)C)C)C)C,C23114987,P34303275
c1cc(ccc1/C(=C\c2ccc(cc2Cl)Cl)/C#N)[N+](=O)[O-],C33154888,P49048533
c1cc(ccc1Cc2nc(no2)c3ccc(cc3)N4CCCCC4)F,C33255357,P49181189
C[C@@H]1CC(=C[C@H]([C@@H]1[C@@H]2N(CCO2)C[C@@H]3COC4(O3)CCCCC4)C)C,C34132583,P50647752
c1cc(ccc1CSc2ccc(nn2)c3ccc4c(c3)OCO4)F,C04356574,P56487249
Cc1ccc(cc1)c2nnc3n2c4ccccc4nc3C(F)(F)F,C04053034,P56624572
Cc1ccc(cc1)C2=N/C(=C/c3ccc(o3)c4ccc(cc4)F)/C(=O)O2,C41082738,P62353169
c1cc(cc(c1)F)c2nnc3n2N=C(CS3)c4ccc(cc4)Cl,C00424476,P76103231
CC(C)c1ccc(cc1)C2=Nc3ncnn3[C@@H](C2)c4ccc(cc4)Cl,C44859764,P76825993
c1cc(ccc1N2CCC[C@@H](C2)C=O)S(=O)(=O)C(F)(F)F,C54268753,P81653015
Cc1ccc(cc1C)C2=Nc3ncnn3[C@@H](C2)c4ccc(cc4)C(C)C,C02919640,P87592144
Cc1ccccc1N(c2nc3ccccc3s2)C(=O)c4ccco4,C58401954,P88193602
c1ccc(c(c1)Sc2nc(nc(n2)Cl)N3CCCC3)Cl,C61543663,P94224603
CC(C)(C)C(=O)N1CCC(CC1)C(=O)O[C@@H]2CC[C@H]3CCCC[C@@H]3C2,C66780184,P102632729
c1cc(ccc1C(=O)N2CCCS2(=O)=O)SC(F)(F)F,C69712370,P107357401
c1ccc2c(c1)c(ccc2F)[C@@H](c3ccc(o3)[N+](=O)[O-])Br,C70374187,P108490890
c1cc(c(cc1[N+](=O)[O-])Cl)Oc2ccc(c(c2)F)Br,C87437917,P136785372
CC(C)(C)c1ccc(cc1)c2nc(on2)c3ccnc(c3)Cl,C22120437,P139589404
c1cc(c(cc1O[C@H]2C[C@@H](C23CCCCC3)Cl)Cl)[N+](=O)[O-],C90837910,P142091777
c1cc(c(cc1F)[N+](=O)[O-])O[C@H]2C[C@H](C23CCCCC3)Cl,C90838076,P142091943
Cc1cc(cc(c1O[C@@H]2C[C@@H](C2(C)C)Cl)[N+](=O)[O-])Br,C94296955,P147791500
CC(C)[C@@H]1C[C@@]2(CCN(C2)c3nccc(n3)C(F)(F)F)OC1,C96072038,P151313483
c1ccc(c(c1)/C(=C\c2ccc(cc2Cl)Cl)/C#N)[N+](=O)[O-],C34701052,P155635849
Cc1ccc2c(c1)c(c(o2)c3nc(on3)/C=C\c4cccs4)C,C98063572,P155816175
c1cc(c(cc1/N=C\c2ccc(s2)[N+](=O)[O-])Cl)Br,C00065066,P156341485
c1cc(c(cc1/C=N/c2ccc(c(c2)Cl)Cl)[N+](=O)[O-])Cl,C00218422,P156441065
